Course Code,Course Title,Session,Cr Hrs,Day and Time,Instructor
SOC 100 LEC 1,Introduction to Sociology,16W,4,MW 12:00PM-1:50PM,Nida Yasmeen Kirmani
SOC 243 LEC 1,Politics of Class and Markets,16W,4,MW 11:00AM-12:50PM,Umair Javed
SOC 243 LEC 1,"SOC 244 Language, Culture, and Society",16W,4,MW 12:00PM-1:50PM,TBA
SOC 321 LEC 1,"SOC 383 Racism, Migration and Displacement",16W,4,TR 4:00PM-5:50PM,TBA
SOC 465 LEC 1,Gender and the City in South Asia,16W,4,MW 4:00PM-5:50PM,Nida Yasmeen Kirmani
SOC 465 LEC 1,SS 100 Writing and Communication,16W,4,TR 1:30PM-3:20PM,Aneeqa Mazhar Wattoo
SS 101 LEC 1,Islamic Studies,16W,2,F 10:00AM-11:50AM,Aurangzeb Haneef
SS 102 LEC 1,Pakistan Studies: Culture and Heritage,16W,2,W 2:00PM-3:50PM,Manahil Raza
SS 187 LEC 1,Applied Statistics for Humanities,16W,4,MW 12:00PM-1:50PM,Muhammad Saad Imtiaz
SS 233 LEC 1,Media Writing,16W,4,TR 2:00PM-3:50PM,Syed Javed Nazir
SS 3302 LEC 1,Professional Communication Skills,16W,4,MW 2:00PM-3:50PM,Aamna Khalid
